,n_expt,id,phant_id,tum_rad,tum_shape,tum_x,tum_y,tum_z,birads,adi_ref_id,emp_ref_id,date,n_session,ant_rad,ant_z,fib_ang,adi_x,adi_y,fib_ref_id,fib_x,fib_y,tum_in_fib
0,1,1,A11F14,,,,,,4.0,,6.0,2019-09-07,1.0,21.0,-6.51,0.0,0.0,0.0,,0.0,0.0,
1,2,2,A11F14,,,,,,4.0,,6.0,2019-09-07,1.0,21.0,-6.51,15.0,0.0,1.0,,0.0,0.0,
2,3,3,A11F14,,,,,,4.0,,6.0,2019-09-07,1.0,21.0,-6.51,-15.0,0.0,-1.0,,0.0,0.0,
3,4,4,A11F14,,,,,,4.0,,6.0,2019-09-07,1.0,21.0,-6.51,0.0,0.0,0.0,,0.0,-1.0,
4,5,5,A11F14,,,,,,4.0,,6.0,2019-09-07,1.0,21.0,-6.51,0.0,0.5,1.0,,0.0,1.0,
5,6,6,,,,,,,,,,2019-09-07,1.0,21.0,-6.51,,,,,,,
6,7,7,A11F12,,,,,,4.0,,6.0,2019-09-07,1.0,21.0,-6.51,0.0,0.0,0.0,,0.0,0.0,
7,8,8,A11F12,,,,,,4.0,,6.0,2019-09-07,1.0,21.0,-6.51,15.0,-0.5,0.5,,0.0,0.0,
8,9,9,A11F12,,,,,,4.0,,6.0,2019-09-07,1.0,21.0,-6.51,-15.0,0.5,-0.5,,0.0,0.0,
9,10,10,A11F12,,,,,,4.0,,6.0,2019-09-07,1.0,21.0,-6.51,-30.0,1.0,0.0,,0.0,0.0,
10,11,11,A11F12,,,,,,4.0,,6.0,2019-09-07,1.0,21.0,-6.51,30.0,-1.0,0.0,,0.0,0.0,
11,1,12,A13F14,,,,,,4.0,,17.0,2019-09-07,2.0,21.0,-6.51,0.0,0.0,0.0,,0.0,0.0,
12,2,13,A13F14,,,,,,4.0,,17.0,2019-09-07,2.0,21.0,-6.51,15.0,0.5,0.5,,0.0,0.0,
13,3,14,A13F14,,,,,,4.0,,17.0,2019-09-07,2.0,21.0,-6.51,-15.0,0.0,0.0,,0.0,0.0,
14,4,15,A13F14,,,,,,4.0,,17.0,2019-09-07,2.0,21.0,-6.51,180.0,-1.0,0.0,,0.0,0.0,
15,5,16,A13F14,,,,,,4.0,,17.0,2019-09-07,2.0,21.0,-6.51,195.0,1.0,0.5,,0.0,0.0,
16,6,17,,,,,,,,,,2019-09-07,2.0,21.0,-6.51,,,,,,,
17,7,18,A13F14,,,,,,4.0,,17.0,2019-09-07,2.0,21.0,-6.51,165.0,-0.5,0.0,,0.0,0.0,
18,8,19,A13F14,,,,,,4.0,,17.0,2019-09-07,2.0,21.0,-6.51,180.0,-0.5,0.0,,0.0,-1.0,
19,9,20,A13F14,,,,,,4.0,,17.0,2019-09-07,2.0,21.0,-6.51,180.0,0.0,0.0,,0.0,1.0,
20,10,21,A13F14,,,,,,4.0,,17.0,2019-09-07,2.0,21.0,-6.51,0.0,0.0,0.0,,0.0,1.0,
21,11,22,A13F14,,,,,,4.0,,17.0,2019-09-07,2.0,21.0,-6.51,0.0,0.5,0.0,,0.0,-1.0,
22,2,23,A13F14,,,,,,4.0,,26.0,2019-09-07,3.0,21.0,-6.51,15.0,0.5,0.0,,0.0,-1.0,
23,3,24,A13F14,,,,,,4.0,,26.0,2019-09-07,3.0,21.0,-6.51,165.0,-1.0,0.0,,0.0,-1.0,
24,4,25,A13F14,,,,,,4.0,,26.0,2019-09-07,3.0,21.0,-6.51,195.0,-1.0,0.0,,0.0,1.0,
25,5,26,,,,,,,,,,2019-09-07,3.0,21.0,-6.51,,,,,,,
26,1,27,A13F14,,,,,,4.0,,28.0,2019-09-07,4.0,21.0,-6.51,-15.0,0.5,0.0,,0.0,1.0,
27,2,28,,,,,,,,,,2019-09-07,4.0,21.0,-6.51,,,,,,,
28,1,29,A13F12,,,,,,3.0,,34.0,2019-09-07,5.0,21.0,-6.51,0.0,0.0,0.0,,0.0,0.0,
29,2,30,A13F12,,,,,,3.0,,34.0,2019-09-07,5.0,21.0,-6.51,15.0,0.0,-0.5,,0.0,0.0,
