,n_expt,id,phant_id,tum_rad,tum_shape,tum_x,tum_y,tum_z,birads,adi_ref_id,emp_ref_id,date,n_session,ant_rad,ant_z,fib_ang,adi_x,adi_y,fib_ref_id,fib_x,fib_y,tum_in_fib
0,1,1,A11F14,,,,,,4,,6,07/09/2019,1,21,-6.51,0,0,0,,0,0,
1,2,2,A11F14,,,,,,4,,6,07/09/2019,1,21,-6.51,15,0,1,,0,0,
2,3,3,A11F14,,,,,,4,,6,07/09/2019,1,21,-6.51,-15,0,-1,,0,0,
3,4,4,A11F14,,,,,,4,,6,07/09/2019,1,21,-6.51,0,0,0,,0,-1,
4,5,5,A11F14,,,,,,4,,6,07/09/2019,1,21,-6.51,0,0.5,1,,0,1,
5,6,6,,,,,,,,,,07/09/2019,1,21,-6.51,,,,,,,
6,7,7,A11F12,,,,,,4,,6,07/09/2019,1,21,-6.51,0,0,0,,0,0,
7,8,8,A11F12,,,,,,4,,6,07/09/2019,1,21,-6.51,15,-0.5,0.5,,0,0,
8,9,9,A11F12,,,,,,4,,6,07/09/2019,1,21,-6.51,-15,0.5,-0.5,,0,0,
9,10,10,A11F12,,,,,,4,,6,07/09/2019,1,21,-6.51,-30,1,0,,0,0,
10,11,11,A11F12,,,,,,4,,6,07/09/2019,1,21,-6.51,30,-1,0,,0,0,
11,1,12,A13F14,,,,,,4,,17,07/09/2019,2,21,-6.51,0,0,0,,0,0,
12,2,13,A13F14,,,,,,4,,17,07/09/2019,2,21,-6.51,15,0.5,0.5,,0,0,
13,3,14,A13F14,,,,,,4,,17,07/09/2019,2,21,-6.51,-15,0,0,,0,0,
14,4,15,A13F14,,,,,,4,,17,07/09/2019,2,21,-6.51,180,-1,0,,0,0,
15,5,16,A13F14,,,,,,4,,17,07/09/2019,2,21,-6.51,195,1,0.5,,0,0,
16,6,17,,,,,,,,,,07/09/2019,2,21,-6.51,,,,,,,
17,7,18,A13F14,,,,,,4,,17,07/09/2019,2,21,-6.51,165,-0.5,0,,0,0,
18,8,19,A13F14,,,,,,4,,17,07/09/2019,2,21,-6.51,180,-0.5,0,,0,-1,
19,9,20,A13F14,,,,,,4,,17,07/09/2019,2,21,-6.51,180,0,0,,0,1,
20,10,21,A13F14,,,,,,4,,17,07/09/2019,2,21,-6.51,0,0,0,,0,1,
